code,question,question_type,standard_answer,importance_score,occurrence_count
,LangGraph 为什么适合构建复杂 Agent？,AI Agent 设计与多智能体,LangGraph 适合构建复杂 Agent，是因为它把 Agent 流程显式建模为图：节点表示步骤，边表示流转条件，状态在节点间传递并可持久化。相比纯 Prompt 循环，它更容易实现 checkpoint、human-in-the-loop、分支路由、失败恢复、并发控制和 Trace 回放。生产价值在于可观测、可测试、可恢复，而不是让模型完全自由地循环执行。,81.9,33
,为什么很多生产 Agent 要用状态机或图编排？,AI Agent 设计与多智能体,生产 Agent 常使用状态机或图编排，是因为完全自由的 Agent Loop 难以保证稳定性和可审计性。状态机可以把规划、工具调用、审批、重试、失败恢复和结束条件显式定义出来，让模型只在局部做判断，整体流程由系统控制。这样可以降低无限循环、越权工具调用和状态混乱的风险，也更方便测试、回放和线上排障。,81.9,33
,Agent Handoff 是什么？,AI Agent 设计与多智能体,Agent Handoff 是一个 Agent 将任务转交给更合适的 Agent，并同时传递目标、上下文摘要、已完成步骤、未解决问题、约束和期望输出。例如客服 Agent 识别到账单问题后转给账单 Agent。关键设计点是交接触发条件、输入输出契约、权限继承、责任边界和回退机制；否则容易出现上下文丢失、重复执行或多个 Agent 互相推诿。,80.3,32
,Multi-Agent 多智能体解决什么问题？,AI Agent 设计与多智能体,Multi-Agent 主要解决复杂任务中的角色分工、并行处理和相互审查问题。例如一个 Agent 负责检索资料，一个负责数据分析，一个负责总结报告，再由主管 Agent 汇总。它适合任务复杂、专业能力差异明显的场景；缺点是通信成本、状态一致性和责任归因更复杂。简单任务应优先使用单 Agent，只有收益明显时才引入多 Agent。,80.3,32
,单 Agent 和多 Agent 如何取舍？,AI Agent 设计与多智能体,单 Agent 链路简单、成本低、状态更容易管理，适合大多数目标明确、工具数量有限的任务。多 Agent 适合角色差异明显、可以并行处理或需要互相审查的任务，例如检索、分析、写作、审核分工。取舍时要看收益是否超过通信成本和一致性成本；如果只是为了“看起来更智能”而拆多个 Agent，通常会让调试、权限和责任归因更困难。,78.7,31
,Supervisor 多 Agent 模式是什么？,AI Agent 设计与多智能体,Supervisor 模式是由一个主管 Agent 负责理解目标、拆分任务、选择专家 Agent、收集结果并做最终汇总。它适合多角色协作场景，例如一个专家负责检索，一个负责数据分析，一个负责风险审核。关键设计点是主管的路由规则、专家的输入输出契约、失败回退和结果冲突处理，否则容易出现重复劳动或责任不清。,77.1,30
,Swarm 多 Agent 模式是什么？,AI Agent 设计与多智能体,Swarm 多 Agent 模式强调去中心化协作，多个 Agent 可以根据上下文动态接力或互相触发，而不是由单一 Supervisor 全程调度。它的优点是灵活、适合开放式探索和复杂协作；缺点是路径难预测，容易出现循环、重复劳动和状态分歧。生产环境中使用 Swarm 时，必须强化共享状态规范、终止条件、权限边界和全链路 Trace。,77.1,30
,多 Agent 系统中如何做任务路由？,AI Agent 设计与多智能体,多 Agent 任务路由可以由规则、分类模型、向量检索或 Supervisor Agent 完成，路由依据包括用户意图、领域、所需工具、权限、风险等级和当前状态。高频稳定场景优先用规则保证可控，开放场景再让模型辅助判断。路由失败要有兜底策略，例如回到主管 Agent、请求澄清、并行多路尝试后汇总，或转人工处理。,75.5,29
,黑板模式或共享状态在多 Agent 中怎么用？,AI Agent 设计与多智能体,黑板模式是让多个 Agent 围绕一个共享工作区协作：每个 Agent 可以读取当前任务状态，也可以按约定写入中间结论、证据、待办项和最终结果。它适合信息逐步积累、需要多角色共同完善的分析任务。关键是定义写入 schema、状态版本、锁或乐观并发控制、冲突解决规则和审计日志，避免多个 Agent 覆盖彼此结果或基于过期状态继续执行。,75.5,29
,Agent 的终止条件如何设计？,AI Agent 设计与多智能体,Agent 终止条件必须由执行框架显式控制。常见终止条件包括目标达成、验收器通过、用户确认、达到最大步数或 Token 预算、连续工具失败、没有新增信息、检测到重复动作或触发安全策略。Prompt 中提醒“完成后停止”不够可靠，工程上应有硬限制、状态检查和可解释的中断结果，避免循环调用工具或持续消耗成本。,73.9,28
,Agent 如何防止无限循环？,AI Agent 设计与多智能体,防止 Agent 无限循环要同时靠状态设计和执行框架。常用措施包括设置最大轮数、最大 Token、最大工具调用次数，检测重复 Query、重复工具参数和连续无信息增益，区分可重试与不可重试错误，并在失败后进入中断、降级或人工接管。还应记录循环中断原因和 Trace，便于后续判断是 Prompt、工具返回还是终止条件设计问题。,72.4,27
,Agent 调用工具为什么要保证幂等？,AI Agent 设计与多智能体,Agent 调用工具必须保证幂等，因为模型可能重复发起调用，网络超时后系统可能重试，任务 Trace 也可能被回放。如果工具是创建订单、扣款、发邮件、提交审批这类写操作，不做幂等就可能造成重复执行。常见做法是为每次业务动作生成 request_id 或幂等键，工具端先检查该请求是否已经执行过，已执行则返回原结果，未执行才继续处理，并记录完整审计日志。,72.4,27
,Human-in-the-loop 在 Agent 中如何设计？,AI Agent 设计与多智能体,Human-in-the-loop 应放在高风险、不可逆、高成本或低置信度动作前，例如删除数据、转账、发外部邮件、提交审批、修改权限。系统需要向人展示工具名、关键参数、影响范围、证据来源、模型理由和可选操作，让人确认、修改或拒绝。审批结果要进入审计日志和后续评测集，这样既保留自动化效率，也把责任边界放在可控位置。,70.8,26
,浏览器、代码解释器和文件系统工具有哪些安全风险？,AI Agent 设计与多智能体,浏览器、代码解释器和文件系统工具都属于高风险工具。浏览器可能遭遇网页 Prompt Injection、钓鱼链接和不可信下载；代码解释器可能执行恶意代码、访问网络或消耗资源；文件系统工具可能误删、覆盖或读取敏感文件。防护应包括沙箱、路径白名单、网络隔离、资源限制、只读默认、高风险审批和审计日志，并把工具返回内容视为不可信数据。,70.8,26
,Agent 执行失败后如何重试和恢复？,AI Agent 设计与多智能体,Agent 执行失败后应先做错误分类，再决定重试或恢复策略。网络抖动、临时 5xx、限流可退避重试；参数错误可把结构化错误反馈给模型修正；权限不足需要用户授权；业务规则不满足应停止或转人工。长任务应有 checkpoint 和状态机，支持从失败节点恢复而不是从头执行；所有失败、重试和恢复动作都要进入 Trace，便于复盘。,69.2,25
,Agent 可观测性如何设计？,AI Agent 设计与多智能体,Agent 可观测性要能回答三个问题：用户要什么、Agent 为什么这么做、每一步产生了什么影响。Trace 中应记录目标、计划、模型版本、Prompt 版本、工具选择、参数、工具结果、状态变化、重试、错误、耗时、Token 成本和最终输出。对于高风险动作，还要记录权限判断和人工审批信息，这样才能支持 Debug、回放评测、审计和问题归因。,67.6,24
,Agent 轨迹 Trace 应该记录哪些内容？,AI Agent 设计与多智能体,Agent Trace 应记录用户目标、系统提示词版本、模型版本、计划、每一步工具调用、工具参数、工具返回结果、状态变化、错误码、重试记录、耗时、Token 成本和最终答案。对高风险工具，还应记录审批人、审批时间和业务单号。Trace 的价值是解释 Agent 为什么这样做，并支持调试、回放、评测和合规审计。,67.6,24
,Agent 漂移是什么意思，如何控制？,AI Agent 设计与多智能体,Agent 漂移是指 Agent 在多轮执行中逐渐偏离最初目标或用户约束，例如被工具返回内容带偏、过度扩展任务范围或忘记关键限制。控制方法是把目标、约束、验收标准和禁止事项写入结构化状态，每轮执行前后都检查是否仍与目标一致。对外部内容要明确标记为不可信数据，同时限制最大步数、工具权限和重规划范围。,66.0,23
,Agent 评测指标有哪些？,AI Agent 设计与多智能体,Agent 评测应同时看结果、过程和成本。结果指标包括任务完成率、答案正确性、用户满意度；过程指标包括工具选择准确率、参数准确率、步骤冗余度、失败恢复率、人工接管率和安全违规率；工程指标包括 P95 延迟、Token 成本、重试次数和错误率。只看最终答案容易掩盖工具误用、越权访问和偶然成功的问题。,66.0,23
,Agentic RAG 中 Agent 主要负责什么？,AI Agent 设计与多智能体,Agentic RAG 中的 Agent 主要负责动态决策，而不是简单替代固定检索链路。它会判断是否需要检索、应该查询哪个知识库、是否需要 Query Rewrite、是否要多轮检索、是否调用结构化工具验证结果，以及证据是否足够支持最终回答。相比普通 RAG，它更适合多跳问题、需要工具协同的问题和复杂业务判断。但生产中必须限制工具权限、执行轮数和 Token 预算，并记录完整 Trace。,64.4,22
,Agent 上下文管理和普通聊天上下文有什么区别？,AI Agent 设计与多智能体,Agent 上下文管理比普通聊天上下文更复杂。普通聊天主要管理消息历史，而 Agent 还要管理目标、计划、当前步骤、工具结果、结构化状态、短期记忆、长期记忆、权限约束和中间产物。工程上不应把所有内容都拼进 Prompt，而应按优先级组织：系统规则和用户目标优先，关键状态结构化保存，长工具结果摘要，历史消息只保留相关窗口。,62.8,21
,什么时候使用 Agent 框架，什么时候自研轻量 Agent？,AI Agent 设计与多智能体,是否使用 Agent 框架取决于任务复杂度和状态管理需求。简单固定流程、单工具调用或少量确定步骤，手写编排通常更轻量、更可控；如果任务涉及多节点状态、条件分支、checkpoint、人工审批、并发执行、失败恢复、Trace 回放和多 Agent 协作，使用 LangGraph 等框架更合适。框架不是越早引入越好，关键看它是否解决了流程可控和可观测问题。,62.8,21
,AutoGPT 和 BabyAGI 的思想对现在 Agent 有什么启发？,AI Agent 设计与多智能体,AutoGPT 和 BabyAGI 的启发在于：目标驱动、任务拆解、记忆和循环执行确实能让模型处理更长链路的任务。它们也暴露了早期 Agent 的核心问题：开放式自主循环容易跑偏、成本失控、重复执行和难以评测。现代生产 Agent 通常吸收其“计划-执行-反馈”思想，但会用状态机、工具白名单、权限校验、终止条件和 Trace 回放把自主性限制在可控范围内。,61.2,20
,多步 Agent 任务如何控制成本？,AI Agent 设计与多智能体,多步 Agent 控制成本可以从模型选择、步骤数量、工具加载、上下文长度和缓存几个方面入手。常见做法是用轻量模型做意图识别和路由，强模型只处理关键推理；限制最大步数和最大 Token；按需加载工具 schema；对工具结果做摘要；缓存常见检索和中间结果。成本控制应内置在执行框架中，而不是等账单异常后再处理。,61.2,20
,工具异常信息应该如何反馈给模型？,AI Agent 设计与多智能体,工具异常信息应以结构化方式反馈给模型，而不是直接返回堆栈或大段报错文本。建议包含错误码、错误类型、是否可重试、缺失字段、字段约束、用户是否需要补充信息、建议修复动作和简短原因。网络抖动、超时等临时错误可以退避重试；参数错误让模型修正；权限不足、资源不存在和业务规则不满足应停止重试并提示用户。内部堆栈、SQL、密钥和敏感数据只能进受控日志。,59.6,19
,Agent 并发执行时如何避免状态冲突？,AI Agent 设计与多智能体,Agent 并发执行时要先区分只读任务和有副作用的写任务。只读检索、分析和摘要可以并行；涉及状态更新、创建工单、发消息、扣费或审批提交时，应使用任务锁、状态版本号、乐观锁、幂等键、事务或队列串行化，避免覆盖状态和重复执行。共享状态最好采用结构化 schema，并在合并结果时处理冲突、过期版本、失败重试和审计记录。,58.0,18
,Agent 的权限模型如何设计？,AI Agent 设计与多智能体,Agent 权限模型应遵循最小权限和真实用户授权原则。模型不能自行决定能访问什么数据或能执行什么动作，服务端必须根据用户身份、租户、角色、资源范围和工具 scope 做强校验。高风险工具需要人工确认，所有工具调用都要记录审计日志；Agent 只能代替用户在既有权限内操作，不能扩大权限或绕过业务流程。,58.0,18
,Agent 最适合落地哪些产品场景？,AI Agent 设计与多智能体,Agent 最适合目标明确、流程可拆、工具可用、结果可验证且人工成本较高的场景，例如企业知识问答、客服分诊、工单处理、数据分析、研发助手、办公自动化和运维排障。不适合一开始就做通用型开放助手，尤其不适合边界不清、风险不可控、结果难验证的任务。落地时应优先选择 ROI 明确的窄场景，用任务完成率、人工接管率、延迟、成本和安全指标评估效果。,56.4,17
,请你介绍下你所参与过的 Agent 项目。,AI Agent 设计与多智能体,面试中可以按“背景-架构-难点-效果”介绍：曾参与一个企业内部知识库问答和工单辅助 Agent 项目，目标是让员工用自然语言查询制度、流程和历史工单，并生成可追溯的处理建议。架构上前端负责会话与引用展示，后端通过模型网关接入大模型，Agent 层做意图识别、任务规划、工具调用和结果校验，工具包括 RAG 检索、工单查询、权限校验和审批流查询。难点是权限隔离、工具误调用和答案可追溯，所以权限过滤在服务端完成，工具参数用 JSON Schema 校验，高风险动作走人工确认。效果通过 Golden Set 评估召回率、忠实度、引用准确率、工具调用准确率、P95 延迟和 Token 成本，并把线上坏例回流优化。,56.4,17
,Function Calling 的完整流程是什么？,Function Calling、Tools 与 MCP,Function Calling 的完整流程是：应用把可用工具的名称、描述和 JSON Schema 传给模型；模型根据用户意图返回工具名和结构化参数；应用服务端校验参数、鉴权并执行工具；再把工具结果回传给模型，由模型生成最终回答或继续下一次工具调用。关键点是模型只提出调用意图和参数建议，真正的业务执行必须在应用服务端完成。,93.3,40
,Strict Mode 在工具调用中解决什么问题？,Function Calling、Tools 与 MCP,Strict Mode 主要解决工具参数“不严格符合 schema”的问题，例如字段拼写错误、额外字段、类型不匹配或遗漏必填项。开启后模型更倾向于按 JSON Schema 生成参数，能提升结构化输出和工具调用稳定性。它不能替代服务端校验，因为权限、业务规则、幂等、风险审批和资源存在性仍必须由后端判断。,91.7,39
,Tool Schema 应该如何设计？,Function Calling、Tools 与 MCP,Tool Schema 应围绕“让模型正确判断何时调用、如何传参、何时不要调用”来设计。名称要短且语义明确，description 要写清适用场景和禁用场景，参数要包含类型、枚举、必填项、格式、边界、单位和示例，复杂对象要避免过深嵌套。生产中还应设置 additionalProperties:false，并在服务端执行 schema 校验与业务校验，降低幻参和误调用风险。,91.7,39
,JSON Mode、Structured Outputs 和 Function Calling 有什么区别？,Function Calling、Tools 与 MCP,JSON Mode 只要求模型输出合法 JSON，适合简单结构化返回，但不保证字段一定满足业务 schema。Structured Outputs 会按给定 schema 约束输出，更适合分类、抽取、评分、表单填充等“不需要外部执行”的结构化任务。Function Calling 则用于模型需要调用外部工具或系统时，模型返回工具名和参数，应用服务端执行工具并把结果回传；它强调的是外部能力编排，而不是单纯 JSON 格式。,90.2,38
,response_format 和 function calling 分别适合什么场景？,Function Calling、Tools 与 MCP,response_format 适合让模型直接返回结构化内容，例如分类结果、字段抽取、订单摘要、评分结果或固定 JSON 对象。function calling 适合需要访问外部系统或执行业务动作的场景，例如查数据库、查库存、创建工单、调用审批接口。判断标准是：如果结果只需要模型根据上下文生成，就使用 response_format；如果必须调用外部能力或产生业务副作用，就使用 function calling，并在服务端完成鉴权、参数校验和审计。,88.6,37
,Parallel Tool Calls 有什么收益和风险？,Function Calling、Tools 与 MCP,Parallel Tool Calls 的收益是降低多工具查询的总延迟，例如同时查询用户信息、订单信息和知识库内容。风险在于工具之间可能存在依赖关系，或者多个写操作并行导致状态冲突。生产中通常只允许无依赖、只读、幂等的工具并行执行；有依赖关系或会产生业务副作用的工具应串行执行，并由服务端控制执行顺序和冲突处理。,87.0,36
,tool_choice 参数有什么作用？,Function Calling、Tools 与 MCP,tool_choice 用于控制模型是否调用工具以及调用哪个工具。它可以设置为自动选择、强制调用某个工具、禁止调用工具，或限制模型只能在指定工具集合中选择。该参数常用于流程控制和安全收敛，例如权限校验必须先调用权限工具，或在某些场景下只开放只读工具。生产中应结合工具白名单和服务端鉴权使用，不能只依赖模型自觉选择。,87.0,36
,工具返回结果应该使用什么格式？,Function Calling、Tools 与 MCP,工具返回结果最好采用结构化 JSON，包含状态码、核心数据、可读摘要、错误码、是否可重试和必要的业务字段。不要把大段 HTML、日志堆栈、数据库原始行或无关字段直接返回给模型，这会浪费 Token，也会增加误判风险。对于长结果，可以做分页、摘要或字段裁剪，只返回模型下一步决策真正需要的信息。,85.4,35
,如何做工具搜索或按需工具加载？,Function Calling、Tools 与 MCP,工具搜索或按需工具加载用于解决工具数量过多的问题。系统可以先根据用户意图、业务场景、权限和工具描述检索出少量候选工具，再把这些工具 schema 交给模型选择。这样可以降低上下文成本、减少误调用，并让工具权限更容易控制。工具描述本身需要结构化维护，包含适用场景、输入输出、限制条件和风险等级。,83.8,34
,工具数量太多会带来什么问题？,Function Calling、Tools 与 MCP,工具数量太多会带来三个问题：第一，工具 schema 占用大量上下文，增加成本和延迟；第二，模型选择困难，误调用概率上升；第三，权限和安全边界更难控制。生产环境通常会按场景、用户权限和任务意图做工具分组，只暴露少量候选工具；低频工具可以通过工具检索按需加载，高风险工具还要加白名单、审批和审计。,83.8,34
,MCP 主要解决什么问题？,Function Calling、Tools 与 MCP,MCP 主要解决 AI 应用接入外部工具和数据源缺少统一协议的问题。没有 MCP 时，每个 Host 都要为文件、数据库、API、搜索等能力单独适配；有 MCP 后，Server 可以用统一方式暴露 tools、resources 和 prompts，Host/Client 负责发现、连接和调用。可以把 MCP 理解为 AI 应用的外部能力协议，它提升了工具复用、生态集成和权限治理的一致性。,82.2,33
,MCP 中 Host、Client、Server 分别是什么？,Function Calling、Tools 与 MCP,MCP 中 Host、Client、Server 是三层角色。Host 是用户直接使用的 AI 应用，例如 IDE、桌面助手或聊天应用；Client 是 Host 内部负责与某个 MCP Server 建立连接、发送请求、接收响应的组件；Server 是暴露 tools、resources、prompts 的外部能力提供方。一个 Host 可以连接多个 Server，通常每个 Server 对应一个 Client 连接，这样便于隔离权限、传输和生命周期。,80.6,32
,MCP 的 tools、resources、prompts 有什么区别？,Function Calling、Tools 与 MCP,MCP 的 tools、resources、prompts 分别对应动作、数据和模板。tools 是可执行能力，例如查数据库、创建工单、调用接口；resources 是可读取的上下文，例如文件、文档、配置、数据库记录；prompts 是可复用的提示模板或任务入口，用来帮助用户或模型按固定方式发起任务。简单理解：tool 偏“做事”，resource 偏“读取”，prompt 偏“引导流程”。,80.6,32
,MCP 的 stdio 和 HTTP/SSE Transport 有什么区别？,Function Calling、Tools 与 MCP,MCP 的 stdio transport 通常用于本地 MCP Server，Host 通过标准输入输出和子进程通信，优点是简单、低延迟、适合访问本机文件或开发工具。HTTP/SSE transport 更适合远程 Server、云端部署和跨网络访问，但必须额外处理认证、授权、租户隔离、网络超时和审计。选择时看 Server 是本地工具还是远程服务，以及安全边界在哪里。,79.0,31
,MCP 授权认证应该如何设计？,Function Calling、Tools 与 MCP,MCP 授权认证应区分用户身份、客户端身份和工具权限。远程 MCP Server 通常需要 OAuth 或类似授权机制，让 Server 知道当前请求代表哪个真实用户，而不是所有用户共用一个全局密钥。权限应细化到 tool、resource 和 scope，例如只能读取某个项目的数据，不能执行写操作。高风险工具还应增加二次确认、审批和审计，确保 MCP 不会绕过原业务系统的权限模型。,77.4,30
,如何设计一个 MCP Server？,Function Calling、Tools 与 MCP,设计 MCP Server 时，首先要明确它提供哪些 tools、resources 和 prompts，并为每个能力定义名称、描述、输入输出 schema、权限范围和错误码。实现层面需要做好参数校验、鉴权、超时、限流、审计日志和密钥隔离，不能把内部凭证暴露给模型。标准设计还应让工具描述足够清晰，使 Host 和模型能够判断什么时候该调用、什么时候不该调用。,77.4,30
,MCP Server 有哪些安全风险？,Function Calling、Tools 与 MCP,MCP Server 的安全风险主要包括工具越权、资源泄露、恶意工具描述、Prompt Injection、敏感参数暴露和供应链风险。由于 MCP Server 会把外部能力暴露给 AI 应用，如果工具 scope 过大或鉴权不足，模型误调用就可能造成真实业务影响。防护上应只接入可信 Server，限制工具权限，服务端二次校验参数，高风险动作增加人工审批，并完整记录审计日志。,75.8,29
,工具调用中的 Prompt Injection 如何发生？,Function Calling、Tools 与 MCP,工具调用中的 Prompt Injection 通常发生在外部文档、网页或工具返回结果中，攻击内容会诱导模型忽略系统指令、泄露上下文或调用危险工具。防护思路是把外部内容明确标记为不可信数据，禁止其覆盖系统和开发者指令；工具调用必须经过服务端权限校验和参数校验；高风险动作需要人工确认，并记录完整审计日志。,74.2,28
,Tool Poisoning 是什么？,Function Calling、Tools 与 MCP,Tool Poisoning 指工具描述、工具元数据、工具返回内容或 MCP Server 被恶意构造，诱导模型错误调用工具、泄露敏感信息或执行危险动作。防护上应只接入可信工具源，审核工具描述和 schema，限制工具作用域，把工具返回结果视为不可信输入，并对高风险工具增加人工审批、调用审计和异常检测。,72.7,27
,工具白名单和作用域如何设计？,Function Calling、Tools 与 MCP,工具白名单和作用域设计的核心是最小权限与按需暴露。系统应根据真实用户身份、租户、角色、业务场景和风险等级，只把当前任务需要的工具提供给模型；工具 scope 要细化到资源、动作和数据范围，例如只能读取某项目、不能全库查询、不能执行写操作。即使模型生成了未授权工具调用，服务端也必须拒绝执行并记录审计日志。,72.7,27
,工具参数为什么必须在服务端校验？,Function Calling、Tools 与 MCP,工具参数必须在服务端校验，因为模型输出不可信，可能存在字段缺失、类型错误、枚举越界、越权资源 ID 或被注入诱导的危险参数。校验应包括 JSON Schema 校验、业务规则校验、权限校验、幂等校验和风险校验。只有校验通过后才能执行工具，不能因为模型返回了合法 JSON 就直接调用业务接口。,71.1,26
,为什么工具执行必须发生在应用服务端而不是模型端？,Function Calling、Tools 与 MCP,工具执行必须发生在应用服务端，因为模型输出只能视为调用意图和参数建议，不能直接拥有业务执行权。服务端负责真实用户鉴权、参数校验、密钥管理、限流、事务、幂等、审计、超时和异常处理。这样可以避免模型接触数据库、支付系统、内部 API 或敏感密钥，也能确保工具调用符合用户权限、业务规则和合规要求。模型只决定“想调用什么”，服务端决定“能不能执行、如何执行”。,69.5,25
,长耗时工具应该如何异步化？,Function Calling、Tools 与 MCP,长耗时工具应设计成异步任务。调用时先创建任务并返回 task_id，后台队列负责执行，前端或 Agent 通过轮询、SSE 或 WebSocket 查询进度和结果。异步化可以避免请求长时间阻塞，也方便做取消、重试、超时控制、失败恢复和任务优先级管理。工具结果完成后，再由 Agent 或应用继续下一步生成。,69.5,25
,工具调用如何保证幂等？,Function Calling、Tools 与 MCP,工具调用保证幂等的核心是让同一个业务请求重复执行时只产生一次实际影响。常见实现方式包括 request_id、业务唯一键、去重表、状态机和幂等结果缓存。以创建工单为例，工具端先检查 request_id 是否已经创建过工单，如果已经创建，就直接返回已有工单号；如果没有，再执行创建。这样可以应对模型重复调用、网络超时重试和任务回放，避免重复扣款、重复下单或重复发送消息。,67.9,24
,工具错误码如何设计给模型使用？,Function Calling、Tools 与 MCP,工具错误码应帮助模型判断下一步动作，而不是只返回一段错误文本。推荐返回结构化字段，例如 code、message、retryable、missing_fields、user_action_required 和 suggested_fix。参数缺失可以让模型补充字段，临时故障可以重试，权限不足应提示用户授权，不可恢复错误应停止执行。清晰的错误码能显著提升 Agent 的自恢复能力。,66.3,23
,如何把 OpenAPI 接口转换为 LLM Tool？,Function Calling、Tools 与 MCP,把 OpenAPI 接口转换为 LLM Tool 时，不能把接口文档机械全量暴露给模型。应筛选适合自然语言驱动的接口，隐藏鉴权、签名、内部字段和低层技术参数，把参数描述改成业务语义，并补充枚举、示例、边界条件、错误码和是否可重试。高风险写接口应不暴露、只暴露受控业务动作，或增加人工审批；转换后的 Tool 应面向任务，而不是后端 API 的一比一映射。,64.7,22
,工具调用审计日志要记录什么？,Function Calling、Tools 与 MCP,工具调用审计日志应记录调用人、租户、会话 ID、trace_id、工具名称、工具参数、访问资源、执行结果、错误码、耗时、是否人工审批以及最终业务单号。敏感字段需要脱敏或加密，但关键链路信息不能丢失。这样在出现越权访问、误操作、用户投诉或合规审查时，可以还原模型为什么调用工具、调用了什么、产生了什么影响。,64.7,22
,数据库工具如何做读写隔离？,Function Calling、Tools 与 MCP,数据库工具应默认读写隔离。读工具使用只读账号，并限制可访问表、字段、行级权限、查询时间、返回行数和扫描成本；写操作不应让模型直接执行 SQL，而应走受控业务接口、审批流或参数化命令。即使只读查询，也要防 SQL 注入、全表扫描、越权字段和敏感数据泄露。高风险 SQL 可以先生成，再经规则引擎或人工审核后执行。,63.1,21
,Agent Skills 和 MCP 有什么区别？,Function Calling、Tools 与 MCP,Agent Skills 和 MCP 关注点不同。Agent Skills 更像 Agent 内部的能力包或操作手册，描述某类任务应该怎么做、遵循什么步骤、使用什么策略；MCP 是连接外部系统的标准协议，用来暴露工具、资源和提示模板。两者可以配合使用：Skill 负责定义工作流和方法论，MCP Server 负责提供文件、数据库、API 等外部能力。,61.5,20
,MCP 和 Function Calling 的区别是什么？,Function Calling、Tools 与 MCP,Function Calling 是模型 API 层面的工具调用机制：应用把工具 schema 给模型，模型返回工具名和参数，应用服务端执行。MCP 是应用与外部工具/数据源之间的标准协议，用来统一暴露 tools、resources、prompts，并处理发现、连接和传输。两者可以配合使用：Host 通过 MCP 发现外部工具，再把部分工具以 Function Calling 的形式提供给模型选择调用。,61.5,20
,system、developer、user 消息角色有什么区别？,Prompt 与上下文工程,system、developer、user 消息的区别在于指令来源和优先级。system 通常定义最高层的安全边界和全局行为，developer 定义应用开发者的业务规则和输出要求，user 表达当前用户需求。生产中应确保高优先级指令不会被用户输入、RAG 文档或工具返回内容覆盖，外部内容只能作为数据参与推理，不能成为新的系统指令。,87.1,37
,Few-shot 示例为什么能提升效果？,Prompt 与上下文工程,Few-shot 示例能把抽象规则变成可模仿的具体样例，让模型更稳定地理解任务边界、输出格式、判断标准和表达风格。它特别适合分类、抽取、结构化输出、风格化回复和边界条件复杂的任务。好的示例应覆盖正例、反例、困难样例和真实坏例，并与当前业务分布一致；示例过多或质量差反而会占用上下文并误导模型。,85.5,36
,一个好 Prompt 通常包含哪些要素？,Prompt 与上下文工程,一个好的 Prompt 通常包含任务目标、角色定位、背景上下文、输入数据、约束条件、输出格式、示例和反例。任务目标说明要完成什么，约束条件说明不能做什么，输出格式保证结果可被程序解析或人工稳定阅读，示例和反例用于明确边界。对于 RAG 或工具调用场景，还应加入证据使用规则、拒答规则和引用要求，避免模型脱离上下文自由发挥。,85.5,36
,请你解释一下 Chain-of-Thought 的作用，以及生产环境中为什么不建议暴露完整推理过程？,Prompt 与上下文工程,Chain-of-Thought 能帮助模型在复杂推理、数学、规划和多步骤分析中形成更稳定的中间推理过程，从而提升正确率。但生产环境通常不建议把完整隐藏推理链直接展示给用户：一方面可能泄露系统策略、敏感上下文或安全规则，另一方面冗长推理也可能包含未经验证的中间猜测。更合适的做法是输出简洁结论、关键依据、可验证步骤摘要和引用证据。,83.9,35
,如何用 Prompt 约束输出格式？,Prompt 与上下文工程,用 Prompt 约束输出格式时，不能只写“返回 JSON”。更稳妥的方式是给出明确 schema、字段含义、类型、枚举、必填项、示例和禁止输出内容；如果模型或平台支持 Structured Outputs，应优先使用 schema 强约束。后端还需要做解析校验，失败时可以把校验错误反馈给模型修复，或走兜底流程。,82.3,34
,为什么常用 XML、Markdown 或分隔符组织上下文？,Prompt 与上下文工程,使用 XML、Markdown 或分隔符组织上下文，是为了让模型清楚区分系统指令、用户输入、检索证据、工具结果和输出要求。清晰的边界可以降低上下文混淆和 Prompt Injection 风险。尤其在 RAG 场景中，外部文档可能包含类似指令的文本，因此应把证据明确标记为不可信数据，只允许模型把它当作事实依据。,80.7,33
,任务分解 Prompt 如何写？,Prompt 与上下文工程,任务分解 Prompt 应明确最终目标、业务约束、可用工具、最大步骤数、输出格式和验收标准，并要求模型把复杂任务拆成可执行、可验证、低耦合的步骤。每一步最好包含输入、动作、工具、预期输出和完成条件。生产 Agent 中还要禁止虚构工具，要求失败时说明原因，高风险动作前暂停等待人工确认，而不是让模型一路自动执行。,80.7,33
,Self-Consistency 自一致性有什么作用？,Prompt 与上下文工程,Self-Consistency 是让模型用多条独立推理路径生成多个候选答案，再通过投票、规则校验或裁判模型选择更稳定结果的方法。它适合数学推理、复杂判断、多步规划等不确定性较高的任务，可以降低单次采样偶然错误。缺点是会增加调用次数、延迟和成本，因此通常用于高价值、低频或准确率要求高的场景，并要控制采样数量和判定规则。,79.1,32
,Prompt Injection 如何防护？,Prompt 与上下文工程,Prompt Injection 防护要同时做指令分层、内容隔离和工具权限控制。系统/开发者指令必须高于用户输入，RAG 文档、网页、邮件和工具返回只能作为不可信数据，不能覆盖上层指令。服务端必须校验工具权限、参数和业务风险，高风险动作需要人工确认。还应维护红队测试集，覆盖越狱、间接注入、多轮诱导、工具越权和数据泄露场景。,77.5,31
